id,cluster_id,x,y,z
167,B,9.21,11.9,9.26
168,B,8.8,10.8,11.0
169,B,12.7,10.3,10.2
170,A|1,30.6,30.7,29.2
171,B,9.52,11.9,10.4
172,B,11.100000000000001,9.37,10.3
173,B,10.1,8.7,12.8
174,B,8.32,10.6,9.55
175,C,34.1,29.2,28.8
176,B,9.04,11.4,10.8
177,B,9.55,9.57,14.0
178,A,26.2,30.3,29.7
179,B,11.599999999999998,12.6,10.1
180,B,13.7,10.4,11.5
181,B,10.6,10.3,9.18
182,A|1,31.9,30.5,31.9
183,A,26.6,29.7,30.8
184,A|1,31.0,29.8,28.3
185,C,38.7,30.5,31.4
186,B,9.0,9.29,9.870000000000001
187,B,9.75,8.9,10.1
188,B,10.5,8.7,11.4
189,B,9.09,12.2,9.35
190,B,9.69,9.78,11.6
191,C,34.4,33.1,29.5
192,B,9.58,12.5,9.39
193,B,10.7,12.7,11.7
194,B,10.900000000000002,10.6,13.5
195,B,13.3,9.810000000000002,10.7
196,A|1,28.700000000000003,28.9,30.5
197,A,20.6,30.6,29.1
198,B,8.11,9.78,12.0
199,A|1,28.0,30.2,28.8
200,A|1,28.700000000000003,31.6,29.3
201,B,8.17,10.8,9.68
202,B,12.0,10.5,11.2
203,B,11.9,12.3,7.98
204,B,8.59,10.2,9.19
205,B,8.44,10.6,9.11
206,C,32.2,29.9,30.5
207,B,7.4,8.64,11.6
208,B,9.7,9.9,8.649999999999999
209,B,10.4,13.6,10.599999999999998
210,C,32.6,30.2,29.3
211,B,10.7,8.83,9.76
212,B,11.499999999999998,9.99,9.12
213,B,11.499999999999998,12.6,9.35
214,B,9.89,9.7,10.2
215,A|1,30.2,30.8,29.0
216,B,10.4,10.6,10.9
217,C,33.5,28.9,29.4
218,B,11.000000000000002,11.9,10.8
219,A|1,28.700000000000003,29.9,30.2
220,B,13.3,9.4,9.92
221,B,11.000000000000002,11.3,11.5
222,B,9.16,9.26,9.86
223,B,11.9,13.2,10.8
224,B,9.97,8.26,11.9
225,None,8.74,23.9,7.45
226,A|1,28.2,29.3,30.0
227,B,7.55,10.3,9.789999999999997
228,B,10.900000000000002,8.510000000000002,9.98
229,B,12.8,8.510000000000002,8.84
230,B,10.3,8.44,11.2
231,A,27.2,30.0,28.7
232,B,9.73,8.31,13.9
233,B,13.2,10.9,10.4
234,B,10.5,13.099999999999998,9.4
235,B,12.8,9.36,10.5
236,B,9.76,13.2,11.0
237,B,11.8,11.3,10.3
238,B,12.4,8.99,10.8
239,B,11.8,9.66,9.69
240,B,9.87,13.6,9.43
241,A|1,31.9,30.2,30.7
242,B,11.3,12.6,10.599999999999998
243,None,34.5,14.399999999999999,10.2
244,B,14.299999999999999,9.84,10.7
245,B,12.9,10.4,9.85
246,B,10.2,8.91,11.2
247,B,11.9,8.74,13.0
248,A,25.7,30.8,30.1
249,B,8.39,11.8,13.0
250,B,8.92,9.38,11.0
251,B,11.200000000000001,12.7,9.379999999999999
252,A|1,29.6,29.5,30.0
253,B,9.26,9.49,11.2
254,C,32.8,29.0,29.8
255,B,14.1,9.63,10.4
256,B,12.8,9.37,9.17
257,B,13.6,9.64,11.4
258,B,8.51,10.9,10.0
259,B,12.3,10.5,8.58
260,A|1,30.2,30.2,29.2
261,B,9.58,10.1,10.0
262,B,10.7,14.1,8.59
263,C,33.4,29.2,30.1
264,B,15.1,11.4,9.77
265,B,12.2,10.2,9.88
266,B,10.800000000000002,9.1,10.4
267,None,18.9,28.1,29.4
268,B,11.3,9.58,9.71
269,B,12.8,11.5,9.27
270,B,12.4,10.4,8.890000000000002
271,B,10.5,10.2,9.24
272,B,15.0,9.76,9.89
273,B,11.599999999999998,9.78,11.9
274,B,10.3,11.1,10.2
275,A|1,29.8,29.4,30.0
276,None,17.4,30.2,29.3
277,C,35.3,29.4,28.8
278,A|1,28.999999999999996,31.7,31.3
279,B,10.5,9.9,10.7
280,B,10.1,10.2,11.6
281,B,9.56,10.2,12.9
282,A,25.8,28.4,28.7
283,B,12.3,9.22,10.5
284,B,8.12,11.0,13.3
285,A,27.800000000000004,29.0,30.0
286,B,9.68,7.25,13.3
287,A|1,31.7,29.3,31.3
288,B,9.38,12.7,9.45
289,B,9.96,9.9,9.26
290,A|1,30.2,31.2,28.4
291,B,9.71,12.1,10.599999999999998
292,B,10.900000000000002,14.3,9.47
293,B,9.99,13.2,8.6
294,B,8.97,10.1,10.1
295,C,35.5,29.6,31.3
296,C,34.8,32.0,30.2
297,B,12.8,9.670000000000002,9.45
298,B,12.0,9.32,9.17
299,A,24.9,28.5,32.1
300,B,14.0,10.3,10.0
301,A|1,29.1,31.0,31.3
302,B,14.9,11.8,9.09
303,B,8.35,10.6,9.24
304,B,13.5,9.92,11.3
305,A,25.7,28.799999999999997,31.2
306,B,13.4,9.86,10.9
307,B,8.66,11.6,11.2
308,A|1,29.400000000000002,29.0,29.6
309,A|1,32.1,28.799999999999997,30.7
310,B,12.0,14.1,11.0
311,B,12.6,9.54,9.43
312,B,10.7,9.78,12.2
313,B,11.200000000000001,9.44,10.4
314,B,9.37,11.8,10.8
315,A,25.4,28.7,29.5
316,B,9.37,9.78,10.9
317,B,9.66,9.32,12.5
318,B,11.3,10.6,10.2
319,B,11.200000000000001,9.05,11.2
320,A,24.3,30.099999999999998,31.100000000000005
321,B,9.32,12.1,10.3
322,B,13.5,11.200000000000001,8.8
323,B,11.599999999999998,7.86,10.3
324,A,27.2,29.4,30.5
325,B,8.58,9.4,10.599999999999998
326,A,24.5,29.4,29.7
327,B,14.2,11.9,10.599999999999998
328,B,14.9,9.97,8.23
329,B,11.599999999999998,11.5,9.57
330,None,13.3,11.200000000000001,10.8
331,B,12.0,9.020000000000001,13.7
332,B,11.9,11.5,10.5
333,A|1,30.7,29.8,30.0
334,None,15.1,8.88,11.1
335,B,10.2,9.92,14.1
336,A,24.6,29.4,29.1
337,B,10.7,10.0,10.4
338,B,8.02,13.5,8.06
339,B,9.59,8.72,9.71
340,B,9.78,10.7,9.34
341,B,12.5,10.6,10.8
342,B,11.399999999999999,10.7,9.870000000000001
343,B,12.0,10.8,8.02
344,A,24.9,32.1,29.8
345,B,12.4,10.6,9.7
346,B,10.0,9.17,8.78
347,B,12.4,10.1,9.03
348,B,9.23,13.3,9.16
349,B,9.43,14.7,10.599999999999998
350,B,8.98,9.46,10.7
351,B,10.4,8.84,13.0
352,C,34.1,30.7,28.6
353,B,8.77,8.42,11.3
354,A,24.8,30.6,29.2
355,None,41.4,29.8,9.06
356,C,33.9,29.8,30.1
357,B,11.000000000000002,8.67,7.46
358,A,25.3,31.0,30.6
359,A|1,31.2,30.5,29.7
360,B,9.64,10.4,12.7
361,B,10.4,11.3,10.2
362,B,9.37,13.2,9.51
363,B,10.3,14.2,10.599999999999998
364,A|1,31.0,30.2,30.0
365,A,24.8,30.4,31.9
366,B,9.57,13.2,11.1
367,A|1,29.899999999999995,29.6,30.2
368,B,9.7,13.7,10.1
369,B,12.5,11.4,9.64
370,B,11.699999999999998,10.5,9.98
371,A|1,29.6,29.5,30.1
372,B,10.3,10.9,10.1
373,B,10.900000000000002,8.8,9.9
374,A,27.9,29.3,29.1
375,C,36.3,30.3,31.100000000000005
376,B,10.0,9.530000000000001,9.44
377,B,11.599999999999998,11.1,11.1
378,B,10.4,9.65,13.199999999999998
379,B,10.800000000000002,10.3,9.98
380,B,10.1,10.6,10.5
381,B,9.26,10.7,11.7
382,C,37.1,30.6,30.7
383,B,12.8,11.1,11.1
384,B,9.31,9.91,12.9
385,B,13.0,10.4,9.52
386,A|1,31.6,30.2,30.9
387,B,9.86,9.5,9.68
388,B,10.5,10.1,12.6
389,B,10.6,14.5,9.62
390,C,35.2,29.1,30.7
391,B,11.699999999999998,9.1,9.84
392,B,11.8,9.56,10.0
393,A,27.0,29.9,29.4
394,B,8.68,8.55,11.9
395,B,9.81,9.97,9.44
396,A|1,30.6,29.6,30.8
397,B,10.5,10.3,13.3
398,B,10.6,9.61,9.24
399,B,8.46,12.8,11.5
400,B,9.37,10.1,9.35
401,A,26.7,30.9,28.3
402,B,10.0,10.4,12.9
403,B,12.9,11.5,11.1
404,B,8.61,10.4,9.16
405,A|1,31.3,30.8,27.9
406,A|1,28.999999999999996,30.4,29.8
407,B,10.1,10.4,13.6
408,B,10.5,9.25,8.36
409,C,36.1,29.4,30.4
410,B,9.79,9.47,8.25
411,B,10.2,11.1,10.3
412,B,8.9,9.33,9.1
413,B,8.7,8.99,12.5
414,A|1,30.2,30.0,28.4
415,B,9.97,10.9,9.43
416,B,10.1,13.0,11.0
417,C,33.2,29.6,29.3
418,A,27.5,30.3,31.5
419,B,10.800000000000002,9.05,10.3
420,B,12.0,8.36,10.7
421,B,9.99,9.08,11.3
422,B,12.2,9.96,9.58
423,None,7.78,17.6,10.599999999999998
424,B,8.29,14.6,10.9
425,A|1,28.0,30.099999999999998,29.9
426,B,9.45,9.03,9.03
427,B,10.1,10.6,10.599999999999998
428,A|1,30.4,29.2,28.2
429,B,10.5,10.6,10.3
430,B,14.299999999999999,10.4,10.9
431,A|1,31.1,30.099999999999998,30.7
432,B,14.1,8.85,9.7
433,B,9.48,10.6,10.2
434,B,10.1,10.9,13.199999999999998
435,B,9.32,10.0,8.7
436,A|1,31.2,29.7,29.8
437,B,12.0,9.95,11.3
438,B,9.43,10.8,12.1
439,B,11.3,12.5,9.41
440,B,10.3,12.7,8.28
441,B,9.52,12.5,9.81
442,B,9.4,12.7,10.5
443,B,8.87,14.0,9.6
444,B,10.7,9.530000000000001,12.2
445,B,13.6,10.9,9.15
446,B,9.98,11.8,11.4
447,A,26.0,29.2,30.6
448,B,9.1,13.8,8.6
449,B,9.51,8.94,12.7
450,C,33.4,32.3,29.2
451,B,13.0,9.41,9.48
452,C,36.7,30.5,28.3
453,A,25.0,29.3,31.5
454,B,10.0,13.4,8.52
455,B,9.98,11.4,10.0
456,B,9.8,8.93,12.2
457,B,11.000000000000002,10.1,10.9
458,B,9.79,9.21,10.4
459,B,13.3,9.21,9.66
460,B,14.499999999999998,8.2,9.3
461,B,10.7,9.98,10.5
462,B,11.9,8.38,9.56
463,B,9.87,9.530000000000001,12.7
464,B,10.1,10.3,13.3
465,A|1,31.3,29.3,30.5
466,B,9.66,11.7,9.76
467,A,19.5,30.3,30.6
468,B,8.09,9.58,9.32
469,B,8.97,9.12,9.89
470,B,12.9,11.5,10.2
471,B,9.27,10.5,10.8
472,C,34.3,29.5,31.2
473,B,8.62,8.36,10.0
474,B,12.6,11.200000000000001,12.2
475,None,39.2,15.0,24.2
476,B,11.3,10.1,11.1
477,B,9.42,10.0,12.7
478,B,10.5,11.3,8.76
479,B,9.81,11.7,13.6
480,B,10.1,10.4,8.86
481,B,10.2,8.89,9.22
482,A|1,31.2,27.7,29.8
483,C,35.5,29.7,31.100000000000005
484,B,7.74,10.5,11.3
485,B,9.85,10.2,12.2
486,B,8.74,12.8,10.9
487,B,9.05,11.6,10.0
488,B,11.100000000000001,11.7,9.62
489,B,12.9,11.0,10.5
490,B,13.6,8.74,11.4
491,B,10.800000000000002,12.4,9.12
492,B,9.48,8.43,11.7
493,B,12.5,11.200000000000001,9.67
494,C,38.1,30.2,29.9
495,A|1,28.599999999999998,28.799999999999997,29.0
496,B,11.100000000000001,9.05,9.53
497,B,11.200000000000001,8.21,12.3
498,B,8.59,8.92,10.3
499,B,8.68,10.6,14.1
500,B,9.59,10.2,10.9
501,B,8.6,9.34,9.14
502,B,9.24,12.0,9.9
503,B,9.5,7.639999999999999,8.59
504,None,12.3,9.92,8.11
505,A|1,32.1,30.2,28.2
506,B,7.5,12.6,10.599999999999998
507,B,12.6,9.84,10.0
508,A,23.9,30.7,27.8
509,B,8.7,10.9,8.649999999999999
510,B,8.87,10.7,12.2
511,B,9.83,9.13,11.6
512,C,32.8,30.6,30.7
513,B,9.67,9.530000000000001,10.0
514,B,10.1,9.92,11.3
515,C,36.5,30.9,28.9
516,B,10.2,10.7,10.2
517,C,33.7,29.2,29.1
518,B,9.41,11.4,10.5
519,B,8.39,13.4,10.8
520,B,9.19,10.9,11.8
521,A|1,28.599999999999998,29.2,31.0
522,B,11.000000000000002,10.9,10.0
523,None,29.699999999999996,21.5,12.9
524,B,13.2,10.0,11.9
525,B,11.3,9.62,7.77
526,B,9.46,9.46,12.4
527,B,8.5,12.9,8.66
528,B,14.299999999999999,9.810000000000002,9.59
529,B,12.8,10.2,10.0
530,B,9.83,12.3,10.2
531,None,6.59,7.87,9.45
532,B,10.1,9.17,10.2
533,B,11.200000000000001,7.86,10.2
534,None,16.2,9.71,9.48
535,B,9.17,10.2,10.3
536,C,32.3,30.8,28.9
537,B,12.2,10.6,8.16
538,B,8.86,10.6,13.5
539,None,14.599999999999998,8.14,8.8
540,B,9.46,10.0,8.16
541,B,14.499999999999998,11.6,9.56
542,C,35.4,27.6,30.2
543,B,11.100000000000001,11.7,13.4
544,B,13.5,9.44,8.95
545,A,24.3,30.8,30.9
546,B,9.89,10.4,9.89
547,B,10.4,9.22,10.599999999999998
548,B,9.17,11.200000000000001,13.4
549,B,11.3,13.0,10.0
550,None,42.4,31.0,14.0
551,B,7.89,11.200000000000001,9.98
552,B,9.64,9.12,9.84
553,B,9.81,9.56,8.87
554,B,9.41,11.4,8.71
555,A,21.3,30.3,29.6
556,A|1,30.6,29.9,30.0
557,A|1,30.5,27.7,29.2
558,B,9.86,13.7,9.77
559,A|1,30.9,28.799999999999997,28.9
560,C,34.6,30.7,29.7
561,B,9.2,12.8,9.19
562,B,8.02,9.810000000000002,9.56
563,B,10.4,12.9,10.599999999999998
564,B,10.5,10.0,11.9
565,B,10.1,10.9,10.7
566,B,10.900000000000002,10.5,12.8
567,B,12.4,12.8,8.43
568,B,10.2,12.2,11.1
569,B,11.000000000000002,8.9,9.18
570,B,9.82,8.12,11.6
571,B,9.9,9.670000000000002,12.4
572,A|1,29.6,30.2,29.2
573,B,9.74,14.0,9.68
574,B,11.200000000000001,10.9,8.93
575,B,11.399999999999999,9.28,12.3
576,B,8.79,10.7,15.0
577,C,35.1,30.5,28.8
578,B,9.65,10.7,7.97
579,A|1,30.3,29.7,29.5
580,B,10.1,10.2,14.1
581,B,9.43,10.8,9.23
582,A|1,31.8,29.6,28.9
583,B,12.3,11.4,9.02
584,B,9.14,14.3,9.86
585,A|1,29.8,29.5,30.9
586,B,9.7,8.64,10.8
587,B,11.599999999999998,10.2,8.33
588,A,27.2,29.5,30.4
589,B,13.3,9.62,10.1
590,C,32.7,30.9,29.9
591,A|1,30.3,29.6,29.3
592,B,9.7,9.06,8.71
593,C,33.2,31.2,29.3
594,B,8.89,8.92,12.3
595,B,10.0,9.85,13.9
596,None,13.800000000000002,11.1,9.25
597,B,10.4,7.639999999999999,13.6
598,B,9.33,13.9,8.88
599,B,11.3,10.2,8.93
600,B,10.5,8.7,11.0
601,A,26.8,28.0,29.4
602,B,8.35,13.2,10.3
603,A|1,28.900000000000002,32.3,28.8
604,A,27.600000000000005,31.3,31.4
605,B,8.46,14.1,10.3
606,B,9.41,10.4,10.8
607,B,10.3,10.5,14.5
608,C,32.3,29.0,31.7
609,B,12.9,9.63,10.599999999999998
610,A,27.5,30.9,29.7
611,B,9.71,9.43,10.9
612,B,7.91,11.4,14.4
613,B,10.5,9.41,13.9
614,C,34.8,27.4,30.2
615,B,10.7,11.0,9.15
616,A|1,29.400000000000002,29.7,31.2
617,A|1,29.699999999999996,30.2,29.8
618,A|1,30.7,28.9,29.5
619,B,9.22,10.2,12.8
620,C,32.6,29.0,31.5
621,B,10.0,13.3,9.19
622,B,8.93,12.0,9.58
623,B,9.8,12.2,9.97
624,B,9.98,12.2,10.7
625,B,10.5,8.3,11.2
626,B,9.54,9.18,9.5
627,A|1,28.100000000000005,30.5,30.2
628,B,10.2,9.98,10.7
629,B,9.53,8.53,9.74
630,B,13.5,10.3,9.62
631,B,10.5,10.5,10.5
632,B,9.01,10.1,8.71
633,B,10.900000000000002,12.9,11.7
634,B,9.55,10.0,10.8
635,B,10.3,10.6,10.1
636,B,8.18,11.3,9.27
637,B,9.44,9.45,8.4
638,B,15.2,10.6,10.0
639,B,8.02,12.6,9.63
640,B,10.2,14.2,10.5
641,B,10.0,8.98,10.4
642,B,12.3,10.2,9.76
643,C,36.7,28.799999999999997,30.3
644,B,10.1,14.2,11.2
645,A|1,30.6,29.0,29.6
646,B,10.900000000000002,10.3,10.8
647,A|1,28.300000000000004,30.4,29.5
648,B,8.58,10.9,8.53
649,A|1,30.4,30.8,30.3
650,B,9.74,11.6,10.4
651,B,9.5,8.69,11.7
652,B,10.1,11.0,13.1
653,B,14.0,11.5,9.8
654,B,9.91,8.75,10.4
655,C,33.0,29.3,30.0
656,A|1,28.4,28.6,31.100000000000005
657,A,27.800000000000004,29.0,29.6
658,B,10.4,9.66,10.8
659,B,10.3,10.3,14.1
660,B,10.1,10.8,13.4
661,B,12.6,10.8,11.3
662,B,13.7,9.33,10.5
663,A|1,30.2,30.2,29.9
664,A,23.199999999999996,30.2,30.1
665,C,33.4,31.0,30.6
666,B,9.43,9.96,10.3
667,B,11.499999999999998,11.3,10.3
668,B,10.7,10.4,8.93
669,A|1,28.500000000000004,30.6,29.2
670,B,8.76,10.4,10.7
671,B,10.800000000000002,8.63,11.4
672,B,9.08,9.11,9.78
673,B,9.98,10.0,10.9
674,B,9.96,9.66,9.48
675,B,11.8,12.4,10.1
676,B,12.9,8.68,8.98
677,B,7.65,10.0,12.5
678,B,11.699999999999998,11.3,9.71
679,B,9.29,11.4,12.7
680,None,23.9,16.7,16.2
681,A|1,30.8,29.6,29.6
682,B,9.94,9.15,9.52
683,B,10.7,13.8,9.85
684,B,9.29,9.46,12.0
685,B,10.4,9.71,14.1
686,B,9.69,8.92,10.3
687,B,11.699999999999998,9.78,9.56
688,B,9.97,9.5,14.1
689,A|1,30.4,31.1,28.2
690,B,8.62,14.8,9.74
691,B,9.73,12.6,10.1
692,B,10.900000000000002,10.7,8.54
693,A,27.0,31.0,30.6
694,B,10.4,11.9,9.84
695,B,9.39,12.0,11.2
696,A|1,29.899999999999995,28.6,30.9
697,B,9.24,12.1,11.4
698,B,13.4,9.65,10.599999999999998
699,B,10.3,12.0,10.599999999999998
700,B,10.800000000000002,9.63,9.459999999999999
701,B,10.7,9.61,11.3
702,B,14.0,9.33,9.35
703,B,10.5,11.1,9.16
704,C,34.5,28.6,30.9
705,None,13.4,19.6,20.5
706,B,8.56,9.08,14.3
707,B,9.53,9.64,10.4
708,B,11.000000000000002,10.4,8.44
709,B,9.97,9.64,9.71
710,B,12.9,9.18,8.49
711,A|1,28.900000000000002,29.8,29.1
712,A|1,29.400000000000002,29.1,28.0
713,B,9.72,11.0,10.599999999999998
714,B,9.86,9.78,10.599999999999998
715,C,34.3,28.6,31.9
716,B,8.98,11.1,13.8
717,B,13.0,9.37,10.4
718,B,13.800000000000002,9.56,9.23
719,B,9.07,15.7,9.14
720,B,10.6,10.3,8.88
721,C,32.5,29.6,29.4
722,B,11.3,10.9,9.1
723,B,12.0,11.3,9.19
724,B,13.0,12.6,10.4
725,B,9.2,12.6,8.51
726,A|1,29.1,30.099999999999998,31.2
727,B,11.100000000000001,10.8,8.02
728,A|1,28.700000000000003,29.6,30.1
729,A,24.9,28.9,29.6
730,B,12.3,8.8,9.69
731,C,32.4,31.3,31.2
732,B,9.96,11.7,8.59
733,B,9.65,11.200000000000001,9.09
734,C,32.5,29.1,31.9
735,B,11.100000000000001,9.03,8.25
736,B,14.499999999999998,11.200000000000001,10.3
737,B,10.4,11.0,10.0
738,B,8.74,10.7,13.1
739,B,11.000000000000002,10.1,8.68
740,B,7.85,9.670000000000002,12.8
741,B,12.2,8.510000000000002,13.5
742,B,10.7,9.98,9.07
743,C,35.8,30.099999999999998,28.8
744,B,13.7,9.34,9.36
745,B,12.9,12.5,11.4
746,B,10.3,12.2,7.4
747,B,9.54,10.9,8.74
748,B,12.9,9.46,9.57
749,B,10.3,10.4,10.599999999999998
750,B,14.0,10.6,10.9
751,B,10.2,12.8,11.4
752,A|1,28.999999999999996,29.0,31.4
753,C,35.3,31.3,31.2
754,B,8.23,7.93,11.6
755,B,9.68,12.2,12.2
756,B,11.000000000000002,10.9,13.0
757,B,9.34,9.51,9.65
758,B,14.299999999999999,10.7,10.2
759,B,14.2,9.9,10.7
760,B,10.3,8.36,12.1
761,B,11.499999999999998,9.47,10.2
762,B,13.2,10.3,10.5
763,B,10.2,9.12,10.5
764,B,13.900000000000002,10.5,9.44
765,None,7.69,24.2,20.1
766,B,8.89,10.6,8.91
767,B,9.45,10.4,10.1
768,C,37.3,31.8,31.4
769,B,9.33,7.99,13.8
770,C,38.0,29.9,29.8
771,B,9.91,11.3,10.2
772,A,25.2,30.6,33.1
773,B,8.92,13.4,9.3
774,B,10.800000000000002,13.4,10.1
775,A,27.9,31.4,30.6
776,B,10.4,11.1,10.7
777,B,11.599999999999998,10.1,14.1
778,B,9.74,9.35,13.199999999999998
779,B,10.5,9.56,9.77
780,B,8.95,9.97,9.04
781,B,11.100000000000001,8.61,12.8
782,B,11.699999999999998,10.1,8.03
783,B,13.7,10.2,8.09
784,B,14.399999999999999,8.99,9.63
785,C,40.3,30.3,28.9
786,A|1,28.2,31.0,30.8
787,B,10.1,10.5,9.67
788,A|1,28.799999999999997,32.0,30.8
789,B,10.800000000000002,9.17,12.6
790,B,11.399999999999999,15.1,10.1
791,A,25.4,29.9,30.2
792,B,9.67,10.4,9.42
793,B,13.1,10.8,10.599999999999998
794,B,9.3,9.04,10.2
795,B,10.5,15.2,10.2
796,B,8.73,13.099999999999998,10.8
797,A,22.999999999999996,31.2,29.7
798,B,13.6,10.4,11.1
799,B,10.6,11.4,12.8
800,C,32.8,29.8,30.5
801,A|1,31.7,30.5,30.6
802,B,9.53,14.0,10.5
803,B,10.4,10.3,9.15
804,A|1,29.699999999999996,28.5,29.5
805,B,11.399999999999999,12.2,9.39
