id,cluster_id,x,y,z
81,B|1|1,7.9799999999999995,9.58,18.4
82,"(A|1,C)",34.6,28.3,30.0
83,G,9.73,19.4,6.36
84,B,11.100000000000001,10.8,9.5
85,B|2,9.49,15.9,10.3
86,B|2,8.88,15.3,10.0
87,D,17.3,9.18,10.8
88,G,9.05,16.0,4.9
89,A,17.3,28.799999999999997,29.1
90,B,9.64,8.58,9.71
91,B,10.800000000000002,5.07,11.1
92,B|1,10.1,9.27,14.4
93,B,9.32,9.11,9.94
94,B|1|1,8.71,10.1,17.8
95,"(A|1,C)",35.1,31.2,30.3
96,B,8.86,10.0,8.450000000000001
97,B,9.91,11.7,8.76
98,F,17.7,6.94,12.4
99,B|1|1,8.55,7.77,17.5
100,B|1|1,10.3,8.84,17.7
101,B|2,11.200000000000001,19.0,9.92
102,B,10.7,13.7,10.7
103,B|1|1,5.17,10.6,18.1
104,B|1,8.84,9.670000000000002,14.6
105,"(A|1,C)",34.4,29.2,31.100000000000005
106,A,21.0,29.4,30.7
107,D,17.8,8.49,10.7
108,G,8.98,17.7,4.24
109,B|1|1,6.54,11.9,17.0
110,B|1,10.2,8.97,12.6
111,B|2,8.49,14.9,9.83
112,"(A|1,C)",32.9,30.7,29.8
113,B,9.58,10.9,8.370000000000001
114,B,10.7,11.200000000000001,10.0
115,F,17.7,5.71,9.93
116,B|1|1,7.43,11.7,18.6
117,B,11.599999999999998,8.85,8.62
118,D,14.1,8.63,9.36
119,G,10.4,19.3,7.89
120,B|1|1,8.71,9.74,18.3
121,"(A|1,C)",36.2,30.9,28.8
122,D,19.1,9.43,10.5
123,B,9.31,9.0,9.789999999999997
124,B|1|1,10.900000000000002,10.3,18.6
125,"(A|1,C)",35.8,30.2,29.3
126,B|2,11.3,16.1,10.8
127,None,6.83,10.4,19.2
128,B,10.2,9.44,10.2
129,None,11.000000000000002,10.4,18.8
130,B|2,10.2,17.6,6.1
131,B,9.62,9.37,10.5
132,B|1|1,9.25,10.8,15.5
133,B,10.0,10.7,8.649999999999999
134,B,11.000000000000002,11.1,10.3
135,"(A|1,C)",34.6,28.3,27.699999999999996
136,A,23.6,29.3,29.6
137,E,5.859999999999999,9.93,20.1
138,B,9.17,8.68,9.04
139,E,5.36,9.95,18.2
140,"(A|1,C)",37.1,30.9,31.0
141,B|1|1,10.3,9.12,17.9
142,B|2,9.9,17.4,9.78
143,D,16.3,8.01,9.17
144,B,10.3,8.01,9.42
145,F,17.2,6.78,10.4
146,B,9.41,10.7,10.9
147,E,5.18,9.61,18.6
148,F,18.5,6.49,9.99
149,B,10.2,11.4,10.9
150,B,10.4,10.8,11.0
151,D,16.6,9.89,9.25
152,B,9.94,10.3,9.92
153,B,10.7,11.8,10.4
154,B|1,7.510000000000001,9.88,14.5
155,A,24.1,32.7,30.0
156,A,19.0,28.4,30.6
157,D,18.2,9.9,10.599999999999998
158,F,16.4,6.18,8.86
159,G,9.05,17.2,7.42
160,B,9.68,10.6,11.5
161,B,11.100000000000001,11.1,9.91
162,B|2,10.0,17.7,9.8
163,B,11.000000000000002,11.5,9.39
164,B,10.1,10.5,9.870000000000001
165,B|1|1,7.83,11.1,17.9
166,"(A|1,C)",33.7,30.9,30.2
167,D,18.4,9.76,10.3
168,D,15.7,11.4,11.8
169,B|1|1,9.52,9.87,18.8
170,B|2,7.24,17.7,10.4
171,B,11.8,9.72,10.3
172,"(A|1,C)",36.6,29.5,30.5
173,B,9.19,9.68,7.2
174,B,11.8,8.72,11.1
175,A,21.7,30.0,30.2
176,F,17.7,5.230000000000001,9.870000000000001
177,D,16.5,9.17,10.1
178,B,9.85,11.5,11.4
179,B|1|1,8.95,10.1,17.0
180,F,18.6,6.91,10.8
181,D,17.4,9.64,10.4
182,B,10.6,9.23,8.729999999999999
183,A,21.9,27.6,30.1
184,A,23.399999999999995,29.4,28.7
185,B,10.4,10.6,11.0
186,"(A|1,C)",36.0,31.8,28.8
187,B|1|1,8.78,9.810000000000002,16.6
188,A,21.1,30.0,31.2
189,"(A|1,C)",33.4,29.0,29.5
190,D,16.8,6.53,9.86
191,A,22.799999999999997,30.0,28.9
192,D,16.4,10.8,10.4
193,B,9.26,11.5,10.2
194,B|2,11.000000000000002,16.0,9.13
195,G,8.84,17.4,6.85
196,A,19.9,30.8,30.9
197,B,11.000000000000002,10.7,9.24
198,D,17.1,10.1,9.92
199,B,11.699999999999998,9.9,9.26
200,B,10.3,10.5,8.92
201,B|1|1,10.1,9.74,17.0
202,B|1,9.92,10.3,13.4
203,B,10.800000000000002,9.670000000000002,10.1
204,B,9.02,10.6,10.7
205,B|2,9.83,14.9,8.85
206,F,17.9,5.8,9.65
207,B|1|1,7.410000000000001,8.91,17.0
208,B,9.27,8.58,10.4
209,A,18.0,27.8,30.9
210,F,18.9,5.58,11.2
211,B|2,9.37,15.9,11.6
212,B|2,11.499999999999998,14.5,10.599999999999998
213,B,10.6,10.5,9.08
214,A,21.4,30.4,30.1
215,B,10.6,10.8,9.8
216,B|1|1,8.04,8.31,18.2
217,B,9.29,8.54,9.48
218,B|2,10.0,16.8,10.1
219,B,8.69,8.28,9.16
220,D,15.4,8.47,10.0
221,"(A|1,C)",38.3,28.3,29.9
222,"(A|1,C)",34.0,30.2,31.3
223,"(A|1,C)",38.5,29.4,30.6
224,B,8.68,8.62,10.8
225,"(A|1,C)",37.8,29.6,29.6
226,B|1,8.53,11.1,14.2
227,B,8.46,9.87,10.5
228,B,8.72,10.2,10.599999999999998
229,"(A|1,C)",32.8,28.6,32.0
230,B,9.85,9.01,11.4
231,B|1,6.51,9.24,12.0
232,"(A|1,C)",34.2,30.2,28.9
233,"(A|1,C)",34.4,30.4,30.1
234,D,13.4,9.13,9.89
235,B|1|1,9.94,9.69,15.7
236,"(A|1,C)",36.3,32.3,29.1
237,B|1,11.100000000000001,8.89,12.0
238,B,10.900000000000002,9.51,9.950000000000001
239,B,9.08,10.9,10.599999999999998
240,B|1,10.2,9.300000000000002,12.4
241,A,22.999999999999996,30.6,31.4
242,B|1,10.1,9.89,11.8
243,F,18.4,6.08,8.53
244,B|1,9.84,11.0,14.6
245,D,17.7,13.0,10.1
246,B|1|1,10.800000000000002,8.74,17.8
247,D,13.800000000000002,11.1,9.99
248,"(A|1,C)",36.0,28.4,31.7
249,B,8.82,9.57,9.24
250,B,8.87,10.7,10.4
251,F,19.0,5.59,10.7
252,B,11.3,11.5,9.02
253,None,14.0,9.9,12.9
254,B|1|1,13.0,12.3,17.6
255,D,14.0,9.49,9.42
256,B|1|1,8.05,11.0,18.5
257,B,11.000000000000002,10.3,8.9
258,B,10.2,11.0,8.53
259,A,18.1,29.8,29.7
260,"(A|1,C)",34.8,28.2,29.5
261,E,5.49,11.3,16.799999999999997
262,B,10.3,9.87,10.4
263,"(A|1,C)",36.9,29.2,29.2
264,B,11.200000000000001,9.65,9.64
265,None,1.44,2.81,29.8
266,B,9.77,10.1,10.3
267,E,6.66,12.8,17.4
268,B|1|1,11.9,9.91,16.1
269,B,11.8,10.4,10.0
270,A,21.7,31.1,29.3
271,F,19.9,4.66,9.59
272,"(A|1,C)",33.6,30.099999999999998,31.7
273,A,22.900000000000002,30.099999999999998,28.0
274,E,5.37,12.5,18.4
275,B|2,9.67,17.0,9.5
276,D,16.7,11.6,10.3
277,A,23.6,30.4,29.8
278,B,9.48,11.4,10.2
279,B,11.699999999999998,13.6,9.82
280,B|1,9.93,9.62,11.9
281,B,10.2,11.1,9.0
282,"(A|1,C)",36.0,29.0,30.0
283,A,20.0,31.1,30.9
284,B,10.0,13.8,9.34
285,B|1|1,8.44,11.8,15.3
286,"(A|1,C)",33.6,30.0,31.3
287,B,9.33,10.6,9.0
288,"(A|1,C)",33.4,30.0,30.3
289,"(A|1,C)",36.8,30.6,30.3
290,B,10.6,9.87,8.78
291,B|1,10.6,9.77,13.6
292,B,10.5,9.05,9.02
293,E,5.12,10.5,17.7
294,B|2,9.52,15.9,6.93
295,E,3.84,8.36,19.900000000000002
296,B|2,8.73,14.8,10.4
297,B,10.2,9.85,8.729999999999999
298,B,10.6,11.6,9.93
299,B|2,8.06,16.6,9.07
300,D,13.2,8.76,10.8
301,A,21.600000000000005,29.7,30.8
302,B,10.0,13.2,10.2
303,"(A|1,C)",35.6,30.099999999999998,30.6
304,A,23.7,30.6,30.9
305,B|2,11.499999999999998,17.1,9.67
306,B|2,11.8,19.2,8.54
307,F,17.7,7.09,9.66
308,B,9.63,9.300000000000002,10.7
309,B,10.800000000000002,9.28,9.82
310,B|1,9.03,7.059999999999999,14.7
311,"(A|1,C)",35.0,31.3,29.2
312,B,9.97,10.1,10.7
313,D,17.6,9.26,9.13
314,"(A|1,C)",31.9,30.5,31.4
315,F,17.6,3.42,9.24
316,B,9.99,8.85,11.5
317,B|1,9.98,9.36,14.2
318,B|1,8.1,11.3,11.7
319,B,10.6,7.94,9.84
320,"(A|1,C)",35.3,31.0,30.1
321,B,9.37,9.71,8.98
322,E,5.65,10.5,17.4
323,B,8.66,11.3,8.63
324,B,8.12,10.9,9.72
325,B,5.319999999999999,13.9,9.82
326,B,12.7,9.89,10.0
327,B,10.800000000000002,10.5,9.74
328,B|1|1,9.58,10.6,15.0
329,A,22.000000000000004,30.099999999999998,31.9
330,B,8.67,11.6,10.3
331,B|1,9.34,7.12,13.9
332,B,9.99,6.97,9.63
333,B,10.900000000000002,10.1,11.2
334,B,12.6,8.38,9.6
335,E,6.92,10.8,18.6
336,F,18.7,7.82,10.4
337,B,10.5,10.9,9.22
338,B,10.1,9.160000000000002,10.5
339,A,18.4,30.3,30.0
340,A,19.7,28.0,32.0
341,D,18.0,9.670000000000002,9.68
342,A,21.3,29.0,31.4
343,F,17.0,5.49,10.4
344,B,12.0,8.2,11.7
345,B,8.64,9.85,9.5
346,A,21.1,30.7,30.2
347,B|1,10.3,9.77,14.8
348,B|1|1,9.74,9.44,16.3
349,B,10.7,10.0,9.72
350,B,10.2,9.87,8.5
351,B,10.0,11.200000000000001,8.19
352,F,15.5,3.24,9.47
353,None,14.700000000000001,10.6,12.6
354,G,12.1,18.0,8.93
355,None,9.34,18.5,10.1
356,"(A|1,C)",35.9,31.3,28.9
357,F,18.5,7.46,8.79
358,B|1|1,10.800000000000002,10.1,16.6
359,B,10.5,11.7,10.5
360,A,20.1,29.3,31.5
361,B,8.72,9.58,10.1
362,A,20.9,30.3,29.5
363,B|1|1,8.73,10.3,15.8
364,B,10.1,12.1,9.43
365,"(A|1,C)",36.1,31.0,28.8
366,B|1,9.86,8.97,14.2
367,"(A|1,C)",37.1,30.0,28.2
368,B|1|1,10.7,10.6,16.2
369,B,8.47,8.81,11.1
370,B|1|1,8.5,9.8,18.0
371,B|1,9.69,10.0,12.3
372,D,16.0,9.2,9.77
373,B|1|1,6.64,9.43,20.0
374,B,10.7,10.4,10.0
375,F,18.2,6.73,9.19
376,G,10.3,17.4,2.87
377,D,13.800000000000002,11.7,9.26
378,B,9.35,10.2,9.6
379,A,21.600000000000005,30.9,29.4
380,B,10.3,9.63,9.12
381,G,8.03,18.1,9.07
382,A,22.499999999999996,30.5,30.1
383,A,21.4,30.6,28.4
384,G,10.2,18.0,7.32
385,E,6.0600000000000005,9.66,19.900000000000002
386,None,20.3,10.2,9.64
387,B,9.96,10.9,9.83
388,B|1,9.96,9.93,11.8
389,B,7.5600000000000005,9.86,8.51
390,B|1|1,10.1,10.8,15.9
391,"(A|1,C)",37.4,31.3,28.4
392,A,19.8,30.5,30.2
393,"(A|1,C)",34.2,30.2,31.100000000000005
394,A,22.499999999999996,28.799999999999997,30.7
395,B|2,11.200000000000001,17.0,9.62
396,B,11.599999999999998,7.1,9.31
397,B,9.1,14.1,10.599999999999998
398,B,11.200000000000001,11.200000000000001,9.78
399,B,7.68,9.75,9.39
400,B,12.7,9.95,11.5
401,A,19.8,28.1,32.1
402,B|1,9.31,9.45,14.6
403,A,20.9,31.6,28.1
404,B,9.8,11.3,7.5
405,E,5.38,10.3,16.7
406,B|1,12.3,9.810000000000002,15.0
407,B|1|1,10.7,11.1,17.9
408,B|2,10.7,16.7,9.789999999999997
409,A,20.5,29.7,29.4
410,B,11.3,9.45,11.0
411,D,17.6,8.91,10.4
412,"(A|1,C)",31.7,29.6,29.5
413,B,10.1,9.020000000000001,9.4
414,B,9.7,10.4,8.74
415,B,12.4,10.2,9.9
416,G,9.57,18.4,5.56
417,A,25.2,28.7,31.3
418,"(A|1,C)",35.2,29.5,30.9
419,G,8.62,18.1,6.519999999999999
420,A,20.7,29.6,31.4
421,A,20.4,29.6,30.7
422,B,9.81,10.1,9.28
423,B,7.759999999999999,13.4,11.4
424,B|2,10.0,16.0,10.1
425,None,25.3,29.5,1.28
426,None,29.899999999999995,4.77,30.9
427,B,10.4,11.1,10.9
428,A,21.600000000000005,29.5,30.6
429,B,9.2,9.04,9.0
430,A,20.2,30.4,28.8
431,G,10.4,18.7,5.8
432,B|1,10.7,8.59,12.0
433,B,9.59,14.399999999999999,10.1
434,B,8.77,10.3,9.99
435,B,9.79,9.63,9.94
436,B,10.7,11.5,8.69
437,B,8.67,11.9,7.91
438,B,10.4,9.28,9.68
439,B,10.1,8.56,8.97
440,"(A|1,C)",34.8,31.0,29.3
441,B,9.93,11.0,9.32
442,"(A|1,C)",34.9,28.3,30.3
443,"(A|1,C)",35.6,29.3,29.3
444,"(A|1,C)",35.1,29.4,31.3
445,B,8.45,11.8,9.54
446,B,10.6,11.200000000000001,8.380000000000003
447,B,9.55,9.36,8.42
448,E,4.52,9.34,18.0
449,B,10.2,11.1,10.8
450,G,9.11,17.6,4.22
451,A,22.900000000000002,27.7,27.699999999999996
452,F,19.2,8.45,8.92
453,F,18.1,6.96,10.3
454,"(A|1,C)",32.9,28.5,29.9
455,B,10.1,10.1,9.12
456,B|1|1,10.2,8.11,18.2
457,B,11.000000000000002,10.9,11.1
458,B|1|1,8.31,9.78,18.6
459,B|1|1,8.22,10.9,16.5
460,A,20.1,30.7,30.2
461,G,7.39,17.9,6.05
462,B|1,11.399999999999999,9.670000000000002,12.5
463,"(A|1,C)",35.2,30.6,28.7
464,"(A|1,C)",36.8,30.8,28.8
465,B,9.25,10.3,9.55
466,B,9.26,10.0,9.459999999999999
467,A,19.7,29.7,29.8
468,"(A|1,C)",35.7,29.5,30.3
469,F,17.2,6.34,9.64
470,"(A|1,C)",33.2,28.6,29.9
471,B,10.800000000000002,11.5,11.0
472,B,11.699999999999998,12.1,10.7
473,B,10.3,9.1,10.4
474,D,16.9,10.9,8.79
475,B|2,10.7,16.9,10.1
476,B,11.000000000000002,10.3,11.4
477,B,8.9,10.2,9.94
478,F,17.5,7.0,10.1
479,A,16.6,28.0,29.4
480,A,22.200000000000003,30.2,30.3
481,B|2,11.200000000000001,18.7,9.89
482,B,11.399999999999999,11.1,9.12
483,B,9.04,11.4,8.72
484,"(A|1,C)",36.1,31.1,29.8
485,B,11.399999999999999,11.7,11.2
486,"(A|1,C)",37.5,30.7,28.6
487,"(A|1,C)",40.2,30.8,29.8
488,B,10.1,10.9,10.2
489,B,10.7,9.65,10.4
490,B,8.71,9.83,10.1
491,B,11.9,10.7,10.0
492,F,18.9,7.63,11.7
493,B,11.100000000000001,9.68,9.2
494,B|1|1,6.93,10.7,17.1
495,"(A|1,C)",35.2,32.0,30.0
496,B,9.38,14.1,10.2
497,B,9.42,10.8,11.1
498,"(A|1,C)",35.8,29.7,31.9
499,A,22.200000000000003,29.9,31.4
500,E,5.12,9.37,18.0
501,B,9.38,12.8,10.3
502,B,10.3,11.5,7.69
503,"(A|1,C)",33.8,32.2,29.8
504,"(A|1,C)",35.5,30.4,28.9
505,B,10.7,12.0,11.3
506,E,6.16,8.38,18.4
507,D,17.7,8.16,10.7
508,B|2,10.1,17.4,6.39
509,"(A|1,C)",37.0,30.2,31.100000000000005
510,A,20.9,31.5,32.8
511,B,9.99,10.4,9.18
512,B,9.14,11.9,9.42
513,B|1,10.800000000000002,10.2,13.5
514,"(A|1,C)",37.2,29.7,30.6
515,A,21.5,31.6,30.4
516,"(A|1,C)",35.9,30.2,30.3
517,G,9.2,18.2,2.71
518,A,18.2,31.4,30.3
519,B,10.1,10.4,9.3
520,B|1|1,11.499999999999998,9.75,17.5
521,B,11.000000000000002,11.9,8.88
522,B,12.2,3.14,7.69
523,"(A|1,C)",35.7,28.799999999999997,32.8
524,"(A|1,C)",35.2,28.0,31.8
525,"(A|1,C)",32.3,30.099999999999998,30.8
526,B,11.000000000000002,10.1,9.33
527,None,25.3,4.05,5.55
528,None,32.6,28.9,31.6
529,F,19.2,6.98,10.0
530,A,19.4,31.5,29.0
531,B,11.100000000000001,10.3,10.1
532,None,9.43,18.4,13.5
533,B,9.69,9.92,9.53
534,B|2,10.2,17.5,7.74
535,None,37.7,28.5,28.1
536,A,22.000000000000004,29.0,29.6
537,B|2,10.5,14.9,9.98
538,B,9.55,8.94,9.6
539,B,9.72,10.3,8.95
540,F,18.3,5.2,9.01
541,B|1,11.9,11.1,13.3
542,"(A|1,C)",35.5,29.5,29.3
543,B,10.4,11.5,11.6
544,B,9.45,9.91,11.6
545,D,16.7,9.59,11.0
546,F,16.6,5.670000000000001,10.9
547,B,10.2,9.58,9.3
548,None,20.7,3.49,5.23
549,A,19.2,30.2,29.3
550,B|1|1,9.88,10.5,15.7
551,A,23.399999999999995,30.3,30.8
552,B,12.3,10.8,9.86
553,G,8.39,18.0,5.17
554,A,20.2,31.0,29.2
555,B,10.6,11.0,10.3
556,F,17.8,8.58,9.23
557,A,19.5,31.0,28.7
558,B,11.499999999999998,11.4,10.8
559,F,18.5,4.33,8.33
560,F,19.0,8.46,11.3
561,B,10.7,11.1,8.85
562,B,10.6,11.4,11.2
563,B,11.599999999999998,10.0,10.4
564,B,12.0,9.59,9.48
565,E,5.42,9.94,18.1
566,E,8.03,9.92,18.5
567,D,17.7,12.3,10.2
568,D,14.599999999999998,11.200000000000001,9.09
569,D,17.7,10.9,8.15
570,A,21.2,27.8,29.6
571,B,9.17,10.5,8.93
572,B,11.399999999999999,11.4,9.84
573,"(A|1,C)",33.1,30.4,30.3
574,E,2.55,10.8,17.4
575,"(A|1,C)",33.9,29.7,28.5
576,B,10.7,9.21,10.3
577,B,10.4,9.87,9.37
578,B,8.9,8.55,10.9
579,B,10.1,12.0,9.41
580,B|2,11.000000000000002,15.0,8.93
581,B,10.900000000000002,10.5,9.55
582,B|1|1,8.75,10.2,16.9
583,B,11.399999999999999,9.33,9.41
584,F,19.0,3.72,9.9
585,B|1|1,9.72,10.9,19.5
586,D,16.6,9.09,11.1
587,B,10.6,9.89,10.8
588,B,9.72,10.5,10.2
589,B|1,10.6,10.1,12.0
590,B|1|1,9.33,9.77,18.4
591,E,6.2,12.0,17.4
592,F,17.2,6.03,8.68
593,A,20.9,29.0,29.7
594,E,6.05,10.7,15.9
595,B,9.24,13.8,10.2
596,B,10.6,9.49,9.68
597,B,10.3,9.6,9.62
598,D,17.2,10.8,9.23
599,B|2,8.75,16.2,9.31
600,B|2,7.85,17.8,8.729999999999999
601,B,10.2,11.8,11.5
602,D,16.5,11.5,10.1
603,G,9.25,19.4,6.110000000000001
604,"(A|1,C)",35.7,29.7,29.1
605,D,16.5,11.6,10.599999999999998
606,"(A|1,C)",37.0,31.2,29.0
607,B,10.4,8.84,8.16
608,G,10.2,17.7,5.94
609,E,6.59,10.3,18.9
610,B|1|1,8.69,9.93,18.8
611,B,10.0,10.0,10.2
612,D,14.1,11.1,10.599999999999998
613,"(A|1,C)",33.8,30.5,30.2
614,A,21.3,30.8,30.4
615,B|1|1,10.2,11.3,17.4
616,B,9.35,13.8,11.2
617,A,20.2,29.2,30.9
618,A,19.0,29.7,30.5
619,D,14.2,7.87,10.599999999999998
620,"(A|1,C)",32.6,29.8,30.7
621,F,18.3,6.45,9.94
622,B|2,10.2,18.600000000000005,10.7
623,A,23.8,29.5,30.1
624,"(A|1,C)",37.1,31.2,30.6
625,None,30.3,28.1,1.9100000000000001
626,B,10.800000000000002,10.5,9.25
627,G,9.73,17.5,6.83
628,B,8.88,11.1,10.0
629,"(A|1,C)",34.3,30.0,30.9
630,B,10.2,9.78,9.43
631,B|1|1,10.7,9.55,17.4
632,B,8.23,13.8,11.0
633,B,9.5,10.2,10.3
634,B,9.76,10.6,10.4
635,B,9.55,9.2,9.32
636,B,9.56,11.6,8.380000000000003
637,F,17.4,6.46,11.4
638,"(A|1,C)",35.3,29.4,30.1
639,F,18.1,4.52,13.1
640,"(A|1,C)",34.3,29.0,28.9
641,B,9.98,14.0,7.44
642,B,9.08,9.68,10.9
643,"(A|1,C)",36.4,31.3,30.3
644,A,20.7,30.099999999999998,30.6
645,"(A|1,C)",33.4,27.9,30.1
646,B,10.900000000000002,10.2,8.31
647,A,22.999999999999996,31.3,29.5
648,A,23.5,28.799999999999997,28.7
649,F,18.5,0.248,8.97
650,D,15.8,10.4,11.2
651,"(A|1,C)",36.7,29.0,29.0
652,"(A|1,C)",36.7,29.1,30.0
653,B,9.0,10.5,10.4
654,D,15.3,11.0,9.6
655,B|1|1,11.399999999999999,11.0,15.2
656,"(A|1,C)",33.5,29.5,29.6
657,G,8.88,19.5,8.4
658,B|1|1,9.24,9.51,18.5
659,"(A|1,C)",31.7,30.4,31.100000000000005
660,G,10.6,18.2,7.5
661,B,10.5,12.7,11.2
662,B,9.45,9.89,9.68
663,B,9.92,10.3,10.1
664,A,20.0,31.4,31.8
665,B,10.800000000000002,11.200000000000001,10.4
666,"(A|1,C)",30.9,29.2,30.8
667,E,7.48,10.3,18.5
668,B,9.86,9.8,9.99
669,B,11.000000000000002,11.3,11.1
670,B,11.100000000000001,11.9,9.61
671,G,9.82,17.2,5.14
672,B,11.200000000000001,9.28,10.7
673,F,19.2,5.03,10.9
674,B,10.4,9.020000000000001,9.81
675,B,8.7,10.8,11.5
676,B,12.3,14.0,9.23
677,A,19.6,28.9,30.6
678,None,6.419999999999999,6.79,32.3
679,E,3.8100000000000005,11.4,20.0
680,E,6.08,10.5,18.3
681,B|1|1,10.4,10.6,17.8
682,B|1,11.399999999999999,9.810000000000002,14.3
683,E,7.03,11.0,17.6
684,"(A|1,C)",33.6,29.5,31.4
685,B,10.900000000000002,8.46,10.3
686,B,9.84,11.7,8.77
687,B,10.1,10.4,9.93
688,A,20.6,31.1,29.8
689,B,8.78,8.04,10.7
690,B,10.6,9.97,10.4
691,A,19.3,29.7,30.7
692,B|1,9.1,11.1,14.0
693,D,18.9,9.88,9.94
694,B|2,9.73,14.8,9.69
695,"(A|1,C)",35.7,29.1,29.3
696,B,9.6,11.9,10.8
697,None,12.2,19.1,9.9
698,G,9.63,18.1,6.66
699,G,9.19,21.6,9.39
700,D,16.8,10.6,9.96
701,B,9.41,9.44,9.6
702,"(A|1,C)",33.4,29.5,30.8
703,A,21.0,30.5,30.3
704,B,10.5,14.2,8.23
705,"(A|1,C)",38.6,29.1,28.2
706,B|1|1,11.499999999999998,9.61,15.2
707,"(A|1,C)",33.3,29.9,31.9
708,D,14.8,11.1,9.45
709,B,10.0,9.91,8.63
710,A,24.6,30.7,31.2
711,D,18.9,11.4,10.3
712,B,10.0,13.0,9.04
713,B,10.2,9.59,11.4
714,"(A|1,C)",34.0,28.799999999999997,29.9
715,"(A|1,C)",35.9,29.8,29.5
716,"(A|1,C)",34.6,30.3,30.4
717,A,20.8,28.9,29.8
718,"(A|1,C)",33.9,30.6,29.5
719,A,10.4,30.3,31.5
720,G,10.4,17.2,6.61
721,"(A|1,C)",36.3,28.799999999999997,30.9
722,"(A|1,C)",32.9,29.8,29.7
723,G,11.100000000000001,18.3,7.95
724,F,18.0,7.54,11.7
725,B,9.0,11.5,10.3
726,B,9.93,10.4,11.5
727,None,16.1,10.4,17.299999999999997
728,B,12.6,9.530000000000001,10.5
729,"(A|1,C)",38.1,30.6,29.1
730,B|1,10.1,9.26,14.3
731,B,11.8,11.3,9.950000000000001
732,B,9.47,8.69,10.599999999999998
733,B|1,10.2,9.54,12.0
734,B|1,9.58,9.8,12.3
735,B,10.3,8.64,10.0
736,G,11.000000000000002,17.4,4.78
737,"(A|1,C)",36.3,29.0,30.0
738,B,9.31,12.9,9.16
739,A,21.5,29.8,32.6
740,B|2,11.3,14.8,8.91
741,B,10.800000000000002,11.3,10.4
742,E,7.68,10.3,17.5
743,"(A|1,C)",35.7,29.8,29.7
744,B|2,10.6,16.1,11.8
745,F,17.0,3.29,10.3
746,B,10.2,10.8,9.94
747,"(A|1,C)",35.4,30.099999999999998,29.3
748,B|2,10.3,17.8,10.8
749,G,7.77,18.2,6.2
750,A,19.6,31.6,29.6
751,"(A|1,C)",34.0,30.4,29.9
752,B|1|1,11.3,10.7,18.0
753,B,8.91,10.2,10.0
